feature,importance,rank,selected
fase_elim_mean_m24_g,0.0022276512,124,0
fmt_vgc_sum_m9_g,0.0022130036,125,0
fmt_dobles_mean_m3_g,0.002206133,126,0
cat_torneo_mean_m24_g,0.0021952265,127,0
fmt_vgc_mean_m7_g,0.0021940616,128,0
fmt_dobles_sum_m18_p,0.0021922956,129,0
fase_rondas_sum_m1_g,0.002187659,130,0
fase_elim_mean_m15_g,0.0021864318,131,0
rep_actual_mean_m36_g,0.0021794515,132,0
wr_diff_m24_vs_m36_p,0.0021742436,133,0
cat_torneo_mean_m36_g,0.0021681678,134,0
wr_ratio_m1_vs_m36_p,0.0021561969,135,0
pokes_venc_mean_m18_g,0.0021283322,136,0
fmt_vgc_mean_m3_g,0.0021174657,137,0
cat_liga_sum_m9_p,0.0021135462,138,0
fase_grupos_mean_m3_g,0.0020932169,139,0
ma_ratio_m1_vs_m12_g,0.0020904695,140,0
fase_elim_mean_m15_p,0.0020854524,141,0
winrate_m15_p,0.0020748964,142,0
liga_pms_mean_m9_g,0.0020707443,143,0
pokes_sob_mean_m7_g,0.0020575952,144,0
liga_pjs_sum_m12_g,0.0020567535,145,0
ma_ratio_m3_vs_m5_g,0.0020561828,146,0
wr_tier_RANDOM DOUBLES_m36_g,0.002055643,147,0
rep_actual_sum_m36_g,0.0020551982,148,0
wr_tier_VGC_m12_g,0.0020546776,149,0
pokes_sob_sum_m15_p,0.0020462377,150,0
wr_tier_VGC_m7_g,0.0020444542,151,0
wr_tier_DOU_m3_g,0.002042817,152,0
liga_pss_sum_m18_g,0.0020390388,153,0
winrate_m5_p,0.0020343894,154,0
rep_actual_mean_m9_g,0.002033925,155,0
wr_tier_VGC_m36_p,0.0020285652,156,0
wr_diff_m12_vs_m24_g,0.002019749,157,0
fase_grupos_mean_m5_p,0.0020160873,158,0
wr_tier_NAT DEX_m36_p,0.0020111727,159,0
fase_elim_sum_m1_g,0.0020098058,160,0
fmt_dobles_mean_m1_g,0.002008569,161,0
winrate_m7_g,0.0020058078,162,0
wr_diff_m3_vs_m12_p,0.0020052684,163,0
fmt_singles_mean_m9_g,0.0019940888,164,0
wr_ratio_m1_vs_m36_g,0.0019861974,165,0
liga_pjs_mean_m9_p,0.001984581,166,0
liga_pls_sum_m15_p,0.001981266,167,0
nb_ratio_m1_vs_m3_g,0.0019774337,168,0
rep_actual_sum_m24_p,0.0019767527,169,0
rep_actual_mean_m1_p,0.0019690648,170,0
wr_rep_3_m12_g,0.0019656918,171,0
rep_actual_sum_m1_p,0.0019584745,172,0
liga_pms_mean_m18_p,0.00195334,173,0
fmt_vgc_mean_m9_g,0.0019437278,174,0
wr_tier_RANDOM SINGLES_m9_p,0.0019394826,175,0
pokes_venc_mean_m3_p,0.0019373563,176,0
fase_rondas_mean_m9_g,0.0019363826,177,0
wr_rep_1_m5_g,0.0019295267,178,0
liga_pjs_mean_m3_p,0.0019227739,179,0
fase_grupos_mean_m36_g,0.0019206394,180,0
