player1;player2;winner;league;date;status;round;Formato_esp;replay;Tier;N_Torneo;Formato;Ligas_categoria;Fase_completo;pokemons Sob;pokemon vencidos;Walkover;Match_replays;Generaciones;aka_mundial;Aka_evento
Bloody Cheese;Lautaro;Bloody Cheese;ASCENSO;2022-07-01;Completed;Cuartos de Final;DOU;Replay;DOU;3;DOBLES;No Posee Liga;Cuartos de Final;3;6;0;-;9;Fuera_mundial;ASCENSO3
Pandu;MAF1001;Pandu;ASCENSO;2022-07-01;Completed;Cuartos de Final;DOU;Replay;DOU;3;DOBLES;No Posee Liga;Cuartos de Final;3;6;0;-;9;Fuera_mundial;ASCENSO3
Spodoptera;The.Ultracheese;Spodoptera;ASCENSO;2022-07-01;Completed;Cuartos de Final;DOU;Replay;DOU;3;DOBLES;No Posee Liga;Cuartos de Final;2;6;0;-;9;Fuera_mundial;ASCENSO3
Aikauwu;Lautaro;Aikauwu;ASCENSO;2022-07-01;Completed;Cuartos de Final;OU;Replay;OU;3;SINGLES;No Posee Liga;Cuartos de Final;4;6;0;-;9;Fuera_mundial;ASCENSO3
Bloody Cheese;Angelowos;Bloody Cheese;ASCENSO;2022-07-01;Completed;Cuartos de Final;OU;Replay;OU;3;SINGLES;No Posee Liga;Cuartos de Final;3;6;0;-;9;Fuera_mundial;ASCENSO3
O'Fenomenon't;Pandu;O'Fenomenon't;ASCENSO;2022-07-01;Completed;Cuartos de Final;OU;Replay;OU;3;SINGLES;No Posee Liga;Cuartos de Final;3;6;0;-;9;Fuera_mundial;ASCENSO3
The.Ultracheese;MAF1001;The.Ultracheese;ASCENSO;2022-07-01;Completed;Cuartos de Final;OU;Replay;OU;3;SINGLES;No Posee Liga;Cuartos de Final;3;6;0;-;9;Fuera_mundial;ASCENSO3
Aikauwu;Pandu;Aikauwu;ASCENSO;2022-07-01;Completed;Semifinal;DOU;Replay;DOU;3;DOBLES;No Posee Liga;Semifinal;3;6;0;-;9;Fuera_mundial;ASCENSO3
Bloody Cheese;Spodoptera;Bloody Cheese;ASCENSO;2022-07-01;Completed;Semifinal;DOU;Replay;DOU;3;DOBLES;No Posee Liga;Semifinal;3;6;0;-;9;Fuera_mundial;ASCENSO3
Bloody Cheese;O'Fenomenon't;Bloody Cheese;ASCENSO;2022-07-01;Completed;Semifinal;OU;Replay;OU;3;SINGLES;No Posee Liga;Semifinal;4;6;0;-;9;Fuera_mundial;ASCENSO3
